16,Guinness,5.5,0,2,0,0,drink
20,Fanta,2,1,2,0,0,drink
17,Cider,1.3,0,2,0,0,drink
14,Martini,10,0,2,0,0,drink
18,Champagne,20,0,2,0,0,drink
16,Baileys Original Irish Cream,8.34,0,2,0,0,drink
15,Tequila,10.45,0,2,0,0,drink
14,Chocolate Milkshake,3.25,1,1,0,0,drink
17,Eggnog,4.4,0,1,0,0,drink
18,Pastis,5.5,0,2,0,0,drink
19,Sangria,5,0,2,0,0,drink
14,Hot Chocolate with Marshmallows,2.3,1,1,0,0,drink
17,Gin and Tonic,13,0,2,0,0,drink
1,Easy pickled onion rings,2.2,0,0,"Tip the vinegar; sugar; 50ml water and 1 tsp salt into a pan; bring to the boil; then remove from the heat. Add the onions to the pan; cover and leave to cool and pickle. Will keep for 24 hrs.",1,food
1,Truffled mac n cheese,8,0,0,"Cook the macaroni following pack instructions until al dente. Drain; rinse with cold water and set aside to cool.",2,food
1,American pancakes,3.12,0,0,"Mix the flour; baking powder; caster sugar and a pinch of salt together in a large bowl. Create a well in the centre with the back of your spoon then add the eggs; melted butter and milk. Whisk together either with a balloon whisk or electric hand beaters until smooth then pour into a jug.",3,food
2,Split pea & green pea smoked ham soup,23,0,0,"Put the gammon in a very large pan with 2 litres water and bring to the boil. Remove from the heat and drain off the water – this helps to get rid of some of the saltiness. Recover with 2 litres cold water and bring to the boil again. Put everything but the frozen peas into the pan and bring to the boil. Reduce to a simmer and cook for 1½-2½ hrs; topping up the water as and when you need to; to a similar level it started at. As the ham cooks and softens; you can halve it if you want; so it is all submerged under the liquid. When the ham is tender enough to pull into shreds; it is ready.",1,food
2,Scampi with tartare sauce,12.39,0,0,"To prepare the langoustines; pull off the head and pincers. Lay the tail flat on a chopping board and use a sharp pair of scissors to cut a line straight down the back of the shell. Carefully peel the langoustine; score down the back; then remove the grit sac.",2,food
2,Cherry & almond tarts,3.99,0,0,"Very thinly roll out the pastry on a lightly floured surface. Stamp out 12 x 9cm circles with a fluted cutter; if you have one; and use to line a bun tin. Spread 1 rounded tsp of the cherry jam in the bottom of each tart.",3,food
3,Simple coconut & bean soup,2.2,0,0,"Heat the oil in a large saucepan. Sizzle the spring onion whites; pepper; chilli paste and garlic for 5-8 mins until soft and fragrant. Add the thyme; curry powder and spices; then cook for 1 min more; Stir in the tomatoes; then cook for 2 mins to soften slightly.",1,food
3,Jerk chicken kebabs with mango salsa,2,0,0,Mix together the jerk seasoning; olive oil and lime juice. Toss the chicken in it and leave to marinate in the fridge for at least 20 mins; or up to 24 hours.,2,food
3,Spiced glazed pineapple with cinnamon fromage frais,14,0,0,Make the salsa by mixing all the ingredients together with some seasoning – add a chopped red chilli if you like extra heat.,3,food
4,Salt & pepper tofu,15.2,0,0,"Drain the tofu; wrap loosely in kitchen paper and put on a plate. Rest a chopping board on top. If you’re using a light chopping board; weigh it down with a couple of cans – a heavier chopping board will be sufficient on its own. Leave for 10-20 mins until the cloth feels wet from the excess liquid. Pressing the tofu like this helps to give it a firmer texture once cooked.",1,food
4,Egg fried rice,3.05,0,0,"Cook the rice following pack instructions; then drain; spread it out to steam-dry and set aside.",2,food
4,Toffee & sesame bananas,5.3,0,0,"Toss the bananas in 2 tbsp of the sugar. Heat a griddle to medium; then cook the bananas; a few pieces at a time; until sticky and showing griddle marks. Keep warm in a low oven.",3,food
5,Croissants,2.3,0,0,"Put the flour; salt and sugar in a mixing bowl. Measure 300ml cold water into a jug; add the yeast and stir. Make a well in the flour and pour in the liquid. Mix; then knead on your work surface for 10 mins. Shape into a ball; put in a lightly oiled bowl; cover and chill for at least 2 hrs.",1,food
6,Greek salad,2,0,0,"Place 4 large vine tomatoes; cut into wedges; 1 peeled; deseeded and chopped cucumber; ½ a thinly sliced red onion; 16 Kalamata olives; 1 tsp dried oregano; 85g feta cheese chunks and 4 tbsp Greek extra virgin olive oil in a large bowl.",1,food
