16,Guinness,5.5,0,2,0,0,drink
20,Fanta,2,1,2,0,0,drink
17,Cider,1.3,0,2,0,0,drink
18,Champagne,20,0,2,0,0,drink
15,Tequila,10.45,0,2,0,0,drink
19,Sangria,5,0,2,0,0,drink
14,Hot Chocolate with Marshmallows,2.3,1,1,0,0,drink
1,Easy pickled onion rings,2.2,0,0,Tip the vinegar; sugar; 50ml water and 1 tsp salt into a pan; bring to the boil; then remove from the heat. Add the onions to the pan; cover and leave to cool and pickle. Will keep for 24 hrs.,1,food
2,Split pea & green pea smoked ham soup,23,0,0,Put the gammon in a very large pan with 2 litres water and bring to the boil. Remove from the heat and drain off the water – this helps to get rid of some of the saltiness. Recover with 2 litres cold water and bring to the boil again. Put everything but the frozen peas into the pan and bring to the boil. Reduce to a simmer and cook for 1½-2½ hrs; topping up the water as and when you need to; to a similar level it started at. As the ham cooks and softens; you can halve it if you want; so it is all submerged under the liquid. When the ham is tender enough to pull into shreds; it is ready.,1,food
3,Spiced glazed pineapple with cinnamon fromage frais,14,0,0,Make the salsa by mixing all the ingredients together with some seasoning – add a chopped red chilli if you like extra heat.,3,food
4,Salt & pepper tofu,15.2,0,0,Drain the tofu; wrap loosely in kitchen paper and put on a plate. Rest a chopping board on top. If you’re using a light chopping board; weigh it down with a couple of cans – a heavier chopping board will be sufficient on its own. Leave for 10-20 mins until the cloth feels wet from the excess liquid. Pressing the tofu like this helps to give it a firmer texture once cooked.,1,food
5,Croissants,2.3,0,0,Put the flour; salt and sugar in a mixing bowl. Measure 300ml cold water into a jug; add the yeast and stir. Make a well in the flour and pour in the liquid. Mix; then knead on your work surface for 10 mins. Shape into a ball; put in a lightly oiled bowl; cover and chill for at least 2 hrs.,1,food
6,Greek salad,2,0,0,Place 4 large vine tomatoes; cut into wedges; 1 peeled; deseeded and chopped cucumber; ½ a thinly sliced red onion; 16 Kalamata olives; 1 tsp dried oregano; 85g feta cheese chunks and 4 tbsp Greek extra virgin olive oil in a large bowl.,1,food
7,Fisherman’s curry,2.2,0,0,Stir the lemon juice and 1 tsp salt into the fish pieces and set aside. Heat the oil in a large pan. Add the whole spices and curry leaves; cook for 3-4 mins; then add the onions. Fry until the onions are soft; then add the chillies; ginger and garlic. Tip in the tomatoes and the remaining spices and cook; uncovered; on a low heat for about 5-8 mins. Stir frequently to prevent the spices sticking and burning.,2,food
8,Cannoli,6,0,0,Tip the flour; sugar; bicarb; cinnamon and cocoa (if using) into a bowl with a pinch of salt. Add the butter and rub it into the dry ingredients until there are no more lumps. Mix the egg yolk and marsala and add this to the bowl; then mix the whole lot together and knead to a smooth dough. Wrap and rest in the fridge. (Can be made ahead and fried the next day.),3,food
9,Miso soup,3,0,0,Put the wakame in a small bowl and cover with cold water; then leave it for 5 mins until the leaves have fully expanded. ,1,food
10,Day of the Dead biscuits,2,0,0,To make the dough; tip the butter; flour and a good pinch of salt into a food processor. Blend until the mixture resembles breadcrumbs; and the butter is well mixed in. Add the icing sugar; egg yolk and 2 tsp cold water. Blend again until the mixture starts to clump together; add another 1 tsp water if the dough looks too dry; but try to avoid adding any more; as this will make the biscuits tough. Tip the crumbs out onto a work surface and squash everything together to make a ball of dough; you may have to knead it a few times for an even texture. Wrap in cling film; pat into a flat disk and chill for 30 mins.,3,food
11,Spiced tortilla,7.3,0,0,Heat the oil in a large frying pan. Fry the onion and half the chilli for 5 mins until softened. Tip in the spices; fry for 1 min more; then add the cherry tomatoes; potatoes and coriander stalks to the pan. Season the eggs well; pour over the top of the veg and leave to cook gently for 8-10 mins until almost set.,2,food
12,Turkish pizza with spiced pomegranate beef & feta,7.2,0,0,Mix the dough following pack instructions (leave about 2 tbsp of the bread mix in the bag for dusting and rolling out later). Knead for 8-10 mins; then coat the dough in oil; place in a large bowl and cover. Leave to rise until doubled in size. The warmer your kitchen is; the faster it will rise; but generally it should take 1-2 hrs.,2,food
13,Boeuf Salad,5.44,0,0,Salata de boeuf is a traditional Romanian salad consisting of meat; boiled potatoes; boiled root vegetables; and pickled vegetables; all finely diced and dressed with a combination of mayonnaise and mustard. The salad is usually placed in a bowl; topped with a layer of mayonnaise; and garnished with slices of hard-boiled eggs; parsley; olives; or bits of vegetables.,1,food
